valence,acousticness,danceability,explicit,track_genre,loudness,popularity
0.715,0.0322,0.676,False,acoustic,-6.746,13
0.267,0.924,0.42,False,acoustic,-17.235,47
0.12,0.21,0.438,False,acoustic,-9.734,6
0.143,0.905,0.266,False,acoustic,-18.515,51
0.167,0.469,0.618,False,acoustic,-9.681,21
0.666,0.289,0.688,False,acoustic,-8.807,16
0.0765,0.857,0.407,False,acoustic,-8.822,36
0.712,0.559,0.703,False,acoustic,-9.331,17
0.669,0.294,0.625,False,acoustic,-8.7,14
0.196,0.426,0.442,False,acoustic,-6.77,17
0.301,0.279,0.627,False,acoustic,-8.127,14
0.139,0.694,0.483,False,acoustic,-10.058,29
0.607,0.749,0.489,False,acoustic,-9.245,21
0.209,0.777,0.691,False,acoustic,-6.441,34
0.387,0.124,0.755,False,acoustic,-6.084,15
0.238,0.2,0.489,False,acoustic,-7.933,10
0.414,0.827,0.706,False,acoustic,-18.098,46
0.609,0.742,0.795,False,acoustic,-18.09,38
0.669,0.294,0.625,False,acoustic,-8.7,14
0.322,0.83,0.717,False,acoustic,-8.393,34
0.712,0.559,0.703,False,acoustic,-9.331,18
0.569,0.747,0.678,False,acoustic,-8.654,26
0.0765,0.857,0.407,False,acoustic,-8.822,36
0.515,0.477,0.572,False,acoustic,-10.286,20
0.754,0.381,0.796,False,acoustic,-4.831,18
0.33,0.757,0.755,False,acoustic,-9.609,31
0.664,0.788,0.62,False,acoustic,-9.209,21
0.52,0.0444,0.633,False,acoustic,-6.784,13
0.664,0.788,0.62,False,acoustic,-9.209,21
0.664,0.788,0.62,False,acoustic,-9.209,20
0.664,0.788,0.62,False,acoustic,-9.209,22
0.664,0.788,0.62,False,acoustic,-9.209,19
0.564,0.366,0.593,False,acoustic,-8.192,18
0.202,0.782,0.296,False,acoustic,-11.799,34
0.202,0.782,0.296,False,acoustic,-11.799,31
0.202,0.782,0.296,False,acoustic,-11.799,32
0.18,0.939,0.409,False,acoustic,-10.74,39
0.316,0.963,0.501,False,acoustic,-12.931,39
0.414,0.841,0.606,False,acoustic,-10.031,30
0.18,0.939,0.409,False,acoustic,-10.74,39
0.326,0.281,0.474,False,acoustic,-5.291,14
0.142,0.796,0.568,False,acoustic,-10.163,35
0.725,0.15,0.568,False,acoustic,-6.635,13
0.725,0.15,0.568,False,acoustic,-6.635,15
0.498,0.314,0.476,False,acoustic,-3.438,18
0.725,0.15,0.568,False,acoustic,-6.635,14
0.725,0.15,0.568,False,acoustic,-6.635,14
0.725,0.15,0.568,False,acoustic,-6.635,13
0.725,0.15,0.568,False,acoustic,-6.635,14
0.725,0.15,0.568,False,acoustic,-6.635,15
0.308,0.91,0.596,False,acoustic,-10.424,35
0.56,0.076,0.373,False,acoustic,-4.185,13
0.298,0.0754,0.494,False,acoustic,-5.863,8
0.564,0.785,0.447,False,acoustic,-8.65,23
0.407,0.894,0.576,False,acoustic,-9.389,31
0.273,0.078,0.536,False,acoustic,-5.222,7
0.159,0.91,0.526,False,acoustic,-13.02,42
0.502,0.687,0.501,False,acoustic,-9.448,24
0.231,0.834,0.27,False,acoustic,-10.357,32
0.265,0.572,0.731,True,acoustic,-6.477,21
0.415,0.868,0.375,False,acoustic,-7.018,29
0.217,0.0726,0.43,False,acoustic,-5.419,5
0.435,0.983,0.616,False,acoustic,-15.317,41
0.36,0.674,0.705,False,acoustic,-8.249,27
0.285,0.772,0.582,False,acoustic,-10.254,33
0.207,0.798,0.549,False,acoustic,-12.565,36
0.48,0.896,0.787,False,acoustic,-11.429,32
0.172,0.381,0.397,False,acoustic,-7.508,15
0.196,0.198,0.548,False,acoustic,-7.842,8
0.264,0.603,0.787,False,acoustic,-11.989,30
0.346,0.0882,0.484,False,acoustic,-6.183,10
0.125,0.0733,0.382,False,acoustic,-9.303,0
0.428,0.677,0.541,False,acoustic,-9.463,26
0.54,0.712,0.607,False,acoustic,-8.555,24
0.117,0.158,0.417,False,acoustic,-7.84,4
0.515,0.477,0.572,False,acoustic,-10.286,22
0.519,0.0182,0.709,False,acoustic,-5.148,13
0.253,0.645,0.537,False,acoustic,-13.553,30
0.335,0.883,0.602,False,acoustic,-11.106,34
0.6,0.204,0.643,False,acoustic,-4.947,16
0.37,0.455,0.451,False,acoustic,-6.597,19
0.202,0.784,0.546,False,acoustic,-10.786,34
0.298,0.902,0.561,False,acoustic,-10.835,36
0.3,0.74,0.479,False,acoustic,-9.862,30
0.3,0.74,0.479,False,acoustic,-9.862,29
0.351,0.904,0.436,False,acoustic,-11.485,35
0.758,0.00502,0.551,False,acoustic,-3.838,15
0.18,0.939,0.409,False,acoustic,-10.74,41
0.18,0.939,0.409,False,acoustic,-10.74,40
0.392,0.048,0.6,False,acoustic,-7.076,8
0.218,0.872,0.492,False,acoustic,-14.504,40
0.218,0.872,0.492,False,acoustic,-14.504,42
0.33,0.218,0.447,False,acoustic,-6.018,12
0.218,0.872,0.492,False,acoustic,-14.504,42
0.218,0.872,0.492,False,acoustic,-14.504,42
0.218,0.872,0.492,False,acoustic,-14.504,41
0.218,0.872,0.492,False,acoustic,-14.504,41
0.218,0.872,0.492,False,acoustic,-14.504,40
0.805,0.322,0.661,False,acoustic,-5.157,15
0.693,0.139,0.603,False,acoustic,-5.531,16
0.542,0.503,0.626,False,acoustic,-6.69,21
0.617,0.762,0.794,False,acoustic,-8.769,23
0.0951,0.894,0.52,False,acoustic,-10.739,40
0.683,0.496,0.545,False,acoustic,-7.174,17
0.307,0.872,0.728,False,acoustic,-7.322,35
0.257,0.236,0.66,False,acoustic,-8.381,13
0.325,0.971,0.357,False,acoustic,-10.667,36
0.36,0.915,0.479,False,acoustic,-11.282,33
0.385,0.319,0.592,False,acoustic,-5.268,18
0.34,0.55,0.7,False,acoustic,-10.39,25
0.148,0.858,0.402,False,acoustic,-10.775,37
0.085,0.852,0.507,False,acoustic,-9.019,38
0.188,0.959,0.619,False,acoustic,-13.453,44
0.29,0.182,0.404,False,acoustic,-5.069,10
0.197,0.0284,0.418,False,acoustic,-6.599,2
0.341,0.833,0.633,False,acoustic,-7.798,33
0.601,0.835,0.565,False,acoustic,-28.276,84
0.575,0.91,0.664,False,acoustic,-19.836,50
0.142,0.694,0.585,False,acoustic,-10.058,31
0.21,0.794,0.65,False,acoustic,-11.081,36
0.0998,0.884,0.534,False,acoustic,-8.64,39
0.612,0.835,0.456,False,acoustic,-10.293,23
0.145,0.338,0.409,False,acoustic,-13.711,17
0.102,0.805,0.502,False,acoustic,-9.573,35
0.318,0.933,0.496,False,acoustic,-12.884,38
0.333,0.315,0.585,False,acoustic,-6.513,16
0.294,0.827,0.582,False,acoustic,-11.43,34
0.392,0.903,0.637,False,acoustic,-11.472,35
0.617,0.241,0.672,False,acoustic,-5.699,19
0.113,0.496,0.422,False,acoustic,-10.772,19
0.431,0.0758,0.47,False,acoustic,-6.426,10
0.534,0.0761,0.564,False,acoustic,-5.121,12
0.116,0.128,0.521,False,acoustic,-7.756,3
0.79,0.369,0.616,False,acoustic,-6.51,15
0.74,0.184,0.615,False,acoustic,-6.573,14
0.0974,0.675,0.478,False,acoustic,-13.062,31
0.321,0.737,0.479,False,acoustic,-9.862,28
0.664,0.225,0.587,False,acoustic,-5.713,16
0.264,0.601,0.514,False,acoustic,-7.866,24
0.727,0.301,0.646,False,acoustic,-6.203,16
0.648,0.119,0.57,False,acoustic,-4.155,16
0.262,0.957,0.678,False,acoustic,-9.785,39
0.795,0.041,0.589,False,acoustic,-4.523,17
0.548,0.0265,0.626,False,acoustic,-4.441,14
0.36,0.532,0.686,False,acoustic,-8.5,22
0.802,0.108,0.56,False,acoustic,-5.595,14
0.892,0.263,0.619,False,acoustic,-5.964,12
0.594,0.733,0.56,False,acoustic,-12.501,25
0.359,0.0167,0.595,False,acoustic,-7.926,7
0.645,0.0512,0.438,False,acoustic,-6.531,12
0.106,0.702,0.582,False,acoustic,-13.277,34
0.14,0.518,0.453,False,acoustic,-12.881,25
0.342,0.222,0.636,False,acoustic,-7.895,13
0.4,0.907,0.639,False,acoustic,-16.613,43
0.59,0.883,0.69,False,acoustic,-9.194,25
0.444,0.819,0.599,False,acoustic,-9.269,28
0.192,0.918,0.519,False,acoustic,-11.171,41
0.275,0.544,0.643,False,acoustic,-7.459,24
0.529,0.471,0.573,False,acoustic,-9.076,18
0.613,0.00666,0.654,False,acoustic,-5.472,14
0.217,0.761,0.426,False,acoustic,-8.447,32
0.323,0.907,0.505,False,acoustic,-11.349,36
0.731,0.565,0.693,False,acoustic,-9.395,16
0.557,0.969,0.739,False,acoustic,-14.007,33
0.0915,0.867,0.453,False,acoustic,-8.976,38
0.249,0.182,0.606,False,acoustic,-6.271,10
0.563,0.11,0.595,False,acoustic,-5.495,14
0.235,0.855,0.736,False,acoustic,-9.215,37
0.279,0.966,0.479,False,acoustic,-13.974,41
0.573,0.0208,0.583,False,acoustic,-3.142,15
0.376,0.858,0.549,False,acoustic,-13.457,33
0.398,0.287,0.418,False,acoustic,-8.373,13
0.338,0.851,0.498,False,acoustic,-17.721,45
0.471,0.986,0.769,False,acoustic,-12.049,34
0.0568,0.52,0.434,False,acoustic,-7.849,21
0.217,0.931,0.452,False,acoustic,-9.374,36
0.177,0.0325,0.544,False,acoustic,-8.253,1
0.233,0.969,0.662,False,acoustic,-9.003,41
0.179,0.841,0.497,False,acoustic,-15.571,44
0.355,0.914,0.528,False,acoustic,-9.696,33
0.446,0.36,0.461,False,acoustic,-7.513,17
0.705,0.394,0.483,False,acoustic,-6.058,15
0.288,0.27,0.392,False,acoustic,-7.813,11
0.164,0.929,0.42,False,acoustic,-18.827,55
0.435,0.014,0.657,False,acoustic,-5.675,11
0.196,0.692,0.495,False,acoustic,-13.824,33
0.144,0.472,0.55,False,acoustic,-9.502,20
0.267,0.449,0.534,False,acoustic,-9.311,19
0.357,0.777,0.378,False,acoustic,-10.965,29
0.156,0.764,0.606,False,acoustic,-13.967,38
0.0992,0.818,0.486,False,acoustic,-9.466,36
0.262,0.554,0.577,False,acoustic,-11.343,24
0.276,0.861,0.59,False,acoustic,-9.079,36
0.4,0.96,0.538,False,acoustic,-10.057,32
0.142,0.872,0.447,False,acoustic,-7.571,36
0.526,0.906,0.401,False,acoustic,-6.86,27
0.4,0.617,0.502,False,acoustic,-13.421,28
0.857,0.1,0.678,False,acoustic,-9.764,13
0.862,0.568,0.65,False,acoustic,-13.492,16
0.342,0.184,0.649,False,acoustic,-7.894,12
0.336,0.188,0.523,False,acoustic,-6.359,11
0.366,0.847,0.538,False,acoustic,-13.31,36
0.396,0.658,0.519,False,acoustic,-7.707,25
0.179,0.801,0.585,False,acoustic,-12.682,36
0.394,0.0916,0.578,False,acoustic,-4.824,13
0.333,0.325,0.223,False,acoustic,-3.626,16
0.224,0.878,0.382,False,acoustic,-16.157,45
0.0979,0.423,0.642,False,acoustic,-10.606,19
0.137,0.861,0.436,False,acoustic,-12.83,38
0.628,0.705,0.702,False,acoustic,-6.638,21
0.375,0.828,0.593,False,acoustic,-12.755,35
0.203,0.76,0.285,False,acoustic,-12.729,33
0.342,0.222,0.636,False,acoustic,-7.895,13
0.53,0.927,0.698,False,acoustic,-7.632,29
0.275,0.0642,0.601,False,acoustic,-7.589,8
0.243,0.875,0.332,False,acoustic,-14.174,38
0.287,0.417,0.386,False,acoustic,-7.715,18
0.183,0.088,0.62,False,acoustic,-5.719,6
0.485,0.826,0.394,False,acoustic,-11.12,27
0.635,0.654,0.59,False,acoustic,-10.496,21
0.212,0.000298,0.539,False,acoustic,-7.385,2
0.3,0.791,0.543,False,acoustic,-14.331,37
0.208,0.112,0.62,False,acoustic,-6.772,8
0.553,0.647,0.761,False,acoustic,-10.597,24
0.339,0.882,0.674,False,acoustic,-17.963,49
0.187,0.614,0.429,False,acoustic,-9.076,25
0.155,0.876,0.456,False,acoustic,-11.75,38
0.374,0.0318,0.647,False,acoustic,-8.971,8
0.16,0.611,0.322,False,acoustic,-14.915,30
0.42,0.455,0.482,False,acoustic,-13.93,24
0.262,0.877,0.393,False,acoustic,-11.865,35
0.209,0.887,0.423,False,acoustic,-8.811,37
0.133,0.788,0.522,False,acoustic,-14.996,39
0.261,0.612,0.547,False,acoustic,-7.982,24
0.577,0.149,0.504,False,acoustic,-13.807,18
0.171,0.979,0.466,False,acoustic,-14.498,47
0.292,0.73,0.619,False,acoustic,-10.238,31
0.229,0.775,0.596,False,acoustic,-10.16,33
0.178,0.844,0.645,False,acoustic,-15.744,45
0.13,0.86,0.522,False,acoustic,-11.216,37
0.29,0.793,0.681,False,acoustic,-13.397,37
0.371,0.741,0.736,False,acoustic,-5.966,30
0.527,0.366,0.451,False,acoustic,-6.984,17
0.92,0.169,0.371,True,acoustic,-3.72,7
0.947,0.105,0.731,False,acoustic,-7.889,12
0.8,0.947,0.69,False,acoustic,-5.626,16
0.24,0.796,0.594,False,acoustic,-13.062,37
0.936,0.236,0.608,True,acoustic,-5.341,6
0.621,0.324,0.687,False,acoustic,-9.421,16
0.621,0.324,0.687,False,acoustic,-9.421,17
0.361,0.923,0.652,False,acoustic,-12.699,38
0.182,0.873,0.765,False,acoustic,-8.865,38
0.363,0.717,0.589,False,acoustic,-10.086,28
0.351,0.343,0.588,False,acoustic,-7.602,17
0.479,0.854,0.735,False,acoustic,-13.237,32
0.328,0.88,0.655,False,acoustic,-14.409,39
0.468,0.0591,0.363,False,acoustic,-3.128,12
0.315,0.814,0.473,False,acoustic,-8.609,31
0.493,0.149,0.676,False,acoustic,-5.695,15
0.228,0.768,0.41,False,acoustic,-11.673,33
0.373,0.933,0.439,False,acoustic,-13.166,37
0.0797,0.317,0.582,False,acoustic,-14.769,18
0.149,0.863,0.426,False,acoustic,-13.287,39
0.361,0.737,0.696,False,acoustic,-12.107,31
0.167,0.947,0.549,False,acoustic,-7.778,40
0.317,0.893,0.541,False,acoustic,-13.995,39
0.352,0.0686,0.662,False,acoustic,-4.924,11
0.458,0.913,0.665,False,acoustic,-13.852,35
0.352,0.927,0.591,False,acoustic,-12.959,38
0.486,0.907,0.489,False,acoustic,-14.769,36
0.597,0.745,0.618,False,acoustic,-23.665,58
0.258,0.862,0.664,False,acoustic,-8.149,36
0.35,0.875,0.408,False,acoustic,-12.9,35
0.266,0.893,0.623,False,acoustic,-13.668,40
0.35,0.92,0.494,False,acoustic,-11.041,35
0.134,0.897,0.374,False,acoustic,-13.225,41
